id,attributes
0,Female + Green Eye Shadow + Earring + Blonde Bob
1,Male + Smile + Mohawk
2,Female + Wild Hair
3,Male + Wild Hair + Nerd Glasses + Pipe
4,Male + Big Shades + Wild Hair + Earring + Goat
6,Male + Do-rag
7,Female + Wild White Hair + Spots + Clown Eyes Blue
8,Male + Messy Hair + Luxurious Beard
9,Male + Clown Nose + Police Cap + Big Beard
10,Female + Blue Eye Shadow + Mohawk
11,Female + Black Lipstick + Clown Eyes Green + Straight Hair Dark
12,Female + Blonde Short + Purple Lipstick
13,Female + Big Shades + Black Lipstick + Straight Hair Blonde
14,Female + Pipe + Pilot Helmet + Hot Lipstick
15,Male + Luxurious Beard + Wild Hair + Regular Shades
16,Male + Stringy Hair + Earring + Small Shades
18,Male + Eye Mask + Muttonchops
19,Female + Bandana + Horned Rim Glasses + Hot Lipstick
20,Male + Crazy Hair
22,Female + Pilot Helmet + Purple Lipstick
23,Male + Handlebars + Earring + Do-rag
24,Male + Smile + Mohawk Dark
25,Female + Wild White Hair
27,Male + Peak Spike + Earring
29,Female + Horned Rim Glasses + Half Shaved + Earring
31,Female + Stringy Hair
34,Female + Frumpy Hair + Purple Lipstick
35,Male + Cigarette + Peak Spike + Earring + Horned Rim Glasses + Normal Beard
36,Female + Red Mohawk
37,Female + Cap + Clown Eyes Blue
38,Female + Frumpy Hair + Classic Shades + Purple Lipstick
40,Male + Bandana + Chinstrap + Smile
41,Male + Muttonchops + Wild Hair + Clown Eyes Green
43,Female + Half Shaved
44,Male + Messy Hair
45,Male + Earring + Mole
46,Female + Purple Lipstick + Straight Hair Dark
47,Male + Knitted Cap
48,Male + Big Shades + Mohawk
50,Male + Spots + Fedora
53,Female + Big Shades + Straight Hair
55,Male + Eye Patch
56,Male + Shaved Head
57,Male + Headband
58,Male + Normal Beard Black + Hoodie
59,Male + Muttonchops + Cowboy Hat
60,Female + Stringy Hair + Purple Lipstick
