id,attributes
0,Female + Green Eye Shadow + Earring + Blonde Bob
1,Male + Smile + Mohawk
2,Female + Wild Hair
3,Male + Wild Hair + Nerd Glasses + Pipe
4,Male + Big Shades + Wild Hair + Earring + Goat
5,Female + Purple Eye Shadow + Half Shaved + Earring
6,Male + Do-rag
7,Female + Wild White Hair + Spots + Clown Eyes Blue
8,Male + Messy Hair + Luxurious Beard
9,Male + Clown Nose + Police Cap + Big Beard
10,Female + Blue Eye Shadow + Mohawk
11,Female + Black Lipstick + Clown Eyes Green + Straight Hair Dark
12,Female + Blonde Short + Purple Lipstick
13,Female + Big Shades + Black Lipstick + Straight Hair Blonde
14,Female + Pipe + Pilot Helmet + Hot Lipstick
15,Male + Luxurious Beard + Wild Hair + Regular Shades
16,Male + Stringy Hair + Earring + Small Shades
17,Male + Frown + Mohawk
18,Male + Eye Mask + Muttonchops
19,Female + Bandana + Horned Rim Glasses + Hot Lipstick
20,Male + Crazy Hair
21,Male + Messy Hair + Classic Shades + Earring
22,Female + Pilot Helmet + Purple Lipstick
23,Male + Handlebars + Earring + Do-rag
24,Male + Smile + Mohawk Dark
25,Female + Wild White Hair
26,Female + Dark Hair
27,Male + Peak Spike + Earring
28,Male + Big Shades + Crazy Hair
29,Female + Horned Rim Glasses + Half Shaved + Earring
30,Male + Normal Beard Black + Cap
31,Female + Stringy Hair
32,Male + Frown + VR
33,Male + Peak Spike
34,Female + Frumpy Hair + Purple Lipstick
35,Male + Cigarette + Peak Spike + Earring + Horned Rim Glasses + Normal Beard
36,Female + Red Mohawk
37,Female + Cap + Clown Eyes Blue
38,Female + Frumpy Hair + Classic Shades + Purple Lipstick
39,Male + Frown + Shaved Head + Regular Shades
40,Male + Bandana + Chinstrap + Smile
41,Male + Muttonchops + Wild Hair + Clown Eyes Green
42,Female + Wild Hair + Cigarette
43,Female + Half Shaved
44,Male + Messy Hair
45,Male + Earring + Mole
46,Female + Purple Lipstick + Straight Hair Dark
47,Male + Knitted Cap
